image name,type
/kaggle/input/car-types-recognition/SUV/SUV/00000001.jpg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000002.jpg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000004.jpg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000009.jpg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000010.jpg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000011.jpg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000012.jpg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000013.jpg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000014.JPG,1
/kaggle/input/car-types-recognition/SUV/SUV/00000015.jpg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000016.jpg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000017.jpg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000018.jpg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000019.jpg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000020.jpg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000022.jpg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000023.jpg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000024.jpg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000025.jpg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000026.jpg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000028.jpg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000029.jpg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000030.jpg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000031.jpg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000034.jpeg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000035.jpg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000036.jpg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000038.jpg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000039.jpeg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000041.jpg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000042.jpg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000043.jpg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000044.jpg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000045.jpg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000046.jpg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000048.jpg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000049.jpeg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000051.jpg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000052.jpg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000053.jpg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000054.jpg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000055.jpg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000056.jpg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000060.jpg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000061.jpg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000062.jpg,1
/kaggle/input/car-types-recognition/SUV/SUV/00000063.jpg,1
